,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO,,,
1/11/2022 6:00,36901.25,6.11,1.77,3.13,1.06,5.21,1,,,
1/11/2022 7:00,36901.29,5.56,1.04,4.47,0.93,5.03,37,,,
1/11/2022 8:00,36901.34,6.11,0.79,3.58,0.96,4.85,157,,,
1/11/2022 9:00,36901.38,7.78,1.97,2.24,0.72,4.67,331,,,
1/11/2022 10:00,36901.42,10.56,4.84,0.45,4.19,4.49,460,,,
1/11/2022 11:00,36901.46,11.67,4.09,1.34,5.29,4.31,528,,,
1/11/2022 12:00,36901.5,13.33,5.9,0.89,2.97,4.13,535,,,
1/11/2022 13:00,36901.55,13.33,5.42,0.45,2.51,6.13,475,,,
1/11/2022 14:00,36901.59,16.11,5.32,0.89,2.11,8.36,365,,,
1/11/2022 15:00,36901.63,14.44,4.91,0.45,5.6,8.2,209,,,
1/11/2022 16:00,36901.67,15.56,4.81,0.45,5.88,8.04,59,,,
1/11/2022 17:00,36901.71,13.33,6.14,1.34,5.18,7.88,1,,,
1/11/2022 18:00,36901.76,12.22,6.43,0.89,5.64,7.71,0,,,
1/11/2022 19:00,36901.8,11.11,7.19,1.34,5.88,7.55,1,,,
1/11/2022 20:00,36901.84,10,5.92,1.79,0.52,7.39,1,,,
1/11/2022 21:00,36901.88,9.44,5.57,2.68,0.59,7.23,1,,,
1/11/2022 22:00,36901.92,8.89,5.95,2.68,0.99,7.07,1,,,
1/11/2022 23:00,36901.97,8.33,5.41,1.79,0.86,6.9,1,,,
1/12/2022 0:00,36902,7.78,4.86,3.58,1.29,6.74,1,,,
1/12/2022 1:00,36902.04,7.78,4.5,3.13,0.96,6.58,1,,,
1/12/2022 2:00,36902.08,7.22,3.96,4.02,1.19,6.42,1,,,
1/12/2022 3:00,36902.13,7.22,3.96,2.68,1.19,6.26,1,,,
1/12/2022 4:00,36902.17,7.22,3.6,3.13,0.75,6.1,1,,,
1/12/2022 5:00,36902.21,7.22,3.23,0.89,1.87,5.93,1,,,
1/12/2022 6:00,36902.25,6.11,3.23,3.13,0.91,5.77,1,,,
1/12/2022 7:00,36902.29,6.11,3.06,3.58,1.31,5.61,19,,,
1/12/2022 8:00,36902.34,7.22,3.04,4.47,0.91,5.45,83,,,
1/12/2022 9:00,36902.38,6.67,3.06,1.79,0.49,5.29,163,,,
1/12/2022 10:00,36902.42,9.44,4.6,0.89,6.11,5.13,222,,,
1/12/2022 11:00,36902.46,12.22,4.37,1.34,3.51,4.96,487,,,
1/12/2022 12:00,36902.5,14.44,6.47,0.45,0.65,4.8,538,,,
1/12/2022 13:00,36902.55,15,6.74,1.34,3.4,7.12,456,,,
1/12/2022 14:00,36902.59,14.44,6.95,0.89,0.56,9.79,325,,,
1/12/2022 15:00,36902.63,16.67,7.79,0.45,4.12,9.6,145,,,
1/12/2022 16:00,36902.67,16.11,8.29,0.45,4.45,9.41,40,,,
1/12/2022 17:00,36902.71,13.89,8.03,1.34,4.05,9.21,1,,,
1/12/2022 18:00,36902.76,12.78,7.81,1.34,0.24,9.02,0,,,
1/12/2022 19:00,36902.8,12.22,7.68,1.79,0.56,8.83,0,,,
1/12/2022 20:00,36902.84,11.11,7.94,2.68,0.33,8.63,1,,,
1/12/2022 21:00,36902.88,10.56,6.84,1.34,3.82,8.44,1,,,
1/12/2022 22:00,36902.92,11.11,6.4,1.34,0.89,8.25,1,,,
1/12/2022 23:00,36902.97,10.56,6.84,1.79,1.03,8.05,1,,,
1/13/2022 0:00,36903,11.11,5.37,2.24,0.61,7.86,1,,,
1/13/2022 1:00,36903.04,10.56,4.62,4.02,1.34,7.67,1,,,
1/13/2022 2:00,36903.08,10.56,3.51,2.46,2.01,7.47,1,,,
1/13/2022 3:00,36903.13,8.89,5.03,0.89,2.67,7.28,1,,,
1/13/2022 4:00,36903.17,9.44,4.8,0.45,2.6,7.09,1,,,
1/13/2022 5:00,36903.21,9.44,5.57,1.34,0.54,6.89,1,,,
1/13/2022 6:00,36903.25,10.56,4.62,2.68,0.59,6.7,2,,,
1/13/2022 7:00,36903.29,8.89,3.66,1.34,3.56,6.51,14,,,
1/13/2022 8:00,36903.34,8.89,4.65,1.79,1.38,6.31,42,,,
1/13/2022 9:00,36903.38,8.33,5.05,0.89,1.03,6.12,212,,,
1/13/2022 10:00,36903.42,10.56,5.46,2.68,0.52,5.93,408,,,
1/13/2022 11:00,36903.46,13.89,6.43,0.89,0.4,5.73,364,,,
1/13/2022 12:00,36903.5,13.33,7.5,1.34,3.89,5.54,424,,,
1/13/2022 13:00,36903.55,15,8.42,0.89,2.72,7.81,431,,,
1/13/2022 14:00,36903.59,16.11,5.9,1.34,3.53,9.93,294,,,
1/13/2022 15:00,36903.63,15.56,7.26,0.89,4.28,9.73,139,,,
1/13/2022 16:00,36903.67,15,7.24,0.89,4.33,9.53,40,,,
1/13/2022 17:00,36903.71,13.33,7.06,0.89,4.42,9.34,1,,,
1/13/2022 18:00,36903.76,12.78,7.18,0.89,0.54,9.14,0,,,
1/13/2022 19:00,36903.8,11.67,7.54,1.79,0.89,8.94,1,,,
1/13/2022 20:00,36903.84,11.67,6.74,0.45,2.29,8.74,1,,,
1/13/2022 21:00,36903.88,11.11,6.6,1.34,0.8,8.55,1,,,
1/13/2022 22:00,36903.92,10.56,7.03,2.68,1.26,8.35,1,,,
1/13/2022 23:00,36903.97,10,6.85,1.79,0.79,8.15,1,,,
1/14/2022 0:00,36904,8.89,6.3,1.79,1.08,7.95,1,,,
1/14/2022 1:00,36904.04,8.89,6.3,2.68,0.79,7.76,1,,,
1/14/2022 2:00,36904.08,7.78,5.56,3.13,1.36,7.56,1,,,
1/14/2022 3:00,36904.13,7.78,5.56,3.58,0.87,7.36,1,,,
1/14/2022 4:00,36904.17,7.78,5.38,4.02,0.79,7.16,1,,,
1/14/2022 5:00,36904.21,7.22,4.67,3.58,1.24,6.97,1,,,
1/14/2022 6:00,36904.25,6.67,3.95,3.13,1.22,6.77,1,,,
1/14/2022 7:00,36904.29,6.11,4.08,3.58,0.91,6.57,20,,,
1/14/2022 8:00,36904.34,6.11,3.92,2.24,1.2,6.37,78,,,
1/14/2022 9:00,36904.38,7.22,3.78,0.89,3.96,6.18,177,,,
1/14/2022 10:00,36904.42,7.22,4.32,1.34,3.61,5.98,156,,,
1/14/2022 11:00,36904.46,8.89,5.95,2.68,3.32,5.78,167,,,
1/14/2022 12:00,36904.5,10,6.3,3.58,3.3,5.59,273,,,
1/14/2022 13:00,36904.55,10.56,7.03,2.24,4.08,8.73,431,,,
1/14/2022 14:00,36904.59,12.22,8.46,1.34,3.93,10,247,,,
1/14/2022 15:00,36904.63,12.22,8.07,0.89,0.94,9.97,126,,,
1/14/2022 16:00,36904.67,11.67,7.73,0.89,4.33,9.94,37,,,
1/14/2022 17:00,36904.71,11.11,7.94,1.79,4.57,9.91,2,,,
1/14/2022 18:00,36904.76,9.44,7.19,1.34,3.51,9.89,1,,,
1/14/2022 19:00,36904.8,8.33,6.77,1.34,1.38,9.86,1,,,
1/14/2022 20:00,36904.84,9.44,7.53,2.24,1.12,9.83,1,,,
1/14/2022 21:00,36904.88,9.44,7.02,1.79,0.84,9.8,1,,,
1/14/2022 22:00,36904.92,8.89,6.65,1.34,1.87,9.77,1,,,
1/14/2022 23:00,36904.97,8.89,6.48,0.89,0.73,9.74,1,,,
1/15/2022 0:00,36905,7.78,5.56,1.79,1.12,9.71,1,,,
1/15/2022 1:00,36905.04,8.33,5.05,1.34,1.08,9.69,1,,,
1/15/2022 2:00,36905.08,7.78,5.38,0.89,0.7,9.66,1,,,
1/15/2022 3:00,36905.13,7.22,4.67,2.68,1.33,9.63,1,,,
