JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 37751.043,   256.140,   175.374,    17.791,     0.001,     0.000,     0.000,     0.250,    82.874,  2216.730,     1.000,    12.521,  -148.004,     0.000,   319.536,   394.836,    78.479,    -5.775,     0.000,
 37752.043,   217.194,   175.245,    18.152,     0.001,     0.000,     0.000,     0.250,    82.745,  2216.730,     1.000,    12.582,  -117.383,     0.000,   326.892,   396.788,    56.366,    -8.880,     0.000,
 37753.042,   186.081,   175.225,    18.733,     0.001,     0.000,     0.000,     0.250,    82.725,  2216.730,     1.000,    12.758,  -112.046,     0.000,   334.388,   399.958,    56.139,    -9.663,     0.000,
 37754.042,   153.653,   175.326,    18.576,     0.001,     0.000,     0.000,     0.250,    82.826,  2216.730,     1.000,    12.749,  -133.373,     0.000,   326.888,   399.086,    66.248,    -5.073,     0.000,
 37755.042,   170.054,   175.424,    19.207,     0.001,     0.000,     0.000,     0.250,    82.924,  2216.730,     1.000,    12.938,  -165.306,     0.000,   315.879,   402.557,    75.484,     3.144,     0.000,
 37756.042,   147.604,   175.524,    20.082,     0.001,     0.000,     0.000,     0.250,    83.024,  2259.720,     1.000,    13.088,  -117.889,     0.000,   335.180,   407.407,    49.152,    -3.490,     0.000,
 37757.042,   155.628,   175.625,    20.792,     0.000,     0.000,     0.000,     0.250,    83.125,  2259.720,     1.000,    13.182,  -145.360,     0.000,   327.344,   411.385,    58.285,     3.034,     0.000,
 37758.042,   170.797,   175.666,    20.920,     0.000,     0.000,     0.000,     0.250,    83.166,  2259.720,     1.000,    13.267,  -174.698,     0.000,   312.315,   412.100,    64.164,    10.749,     0.000,
 37759.042,   154.299,   175.783,    20.823,     0.000,     0.000,     0.000,     0.250,    83.283,  2259.720,     1.000,    13.337,  -156.076,     0.000,   319.535,   411.548,    57.137,     6.926,     0.000,
 37760.042,   167.820,   175.969,    20.438,     0.000,     0.000,     0.000,     0.250,    83.469,  2259.720,     1.000,    13.402,  -206.803,     0.000,   291.533,   409.406,    68.427,    20.503,     0.000,
 37761.042,   181.547,   176.124,    20.489,     0.000,     0.000,     0.000,     0.250,    83.624,  2259.720,     1.000,    13.492,  -213.157,     0.000,   291.411,   409.677,    74.220,    20.671,     0.000,
 37762.043,   224.535,   176.169,    20.471,     0.000,     0.000,     0.000,     0.250,    83.669,  2259.720,     1.000,    13.552,  -221.255,     0.000,   294.835,   409.584,    87.806,    18.701,     0.000,
 37763.043,   228.827,   176.118,    20.470,     0.000,     0.000,     0.000,     0.250,    83.618,  2259.720,     1.000,    13.527,  -218.205,     0.000,   315.880,   409.592,   115.736,     8.757,     0.000,
 37764.043,   251.970,   176.004,    20.617,     0.000,     0.000,     0.000,     0.250,    83.504,  2259.720,     1.000,    13.650,  -193.199,     0.000,   305.234,   410.413,    73.892,    14.129,     0.000,
