JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  34,SEG  35,SEG  36,SEG  39,SEG  40,SEG  41,SEG  44,SEG  45,SEG
 35586.043, 162.760, 162.760, 162.760, 162.304, 162.306, 162.317, 162.317, 162.318, 162.319, 162.319, 162.320, 162.320, 162.320, 162.321, 162.321, 162.322, 162.323, 162.324, 162.325, 162.325, 162.325, 162.325, 162.325, 162.325, 162.325, 162.325, 162.325, 162.325, 162.325, 162.325, 162.760, 162.325, 162.325, 162.325, 162.325, 162.325, 162.325, 162.325,
 35587.043, 162.760, 162.760, 162.760, 162.296, 162.385, 162.394, 162.395, 162.397, 162.397, 162.397, 162.398, 162.398, 162.398, 162.399, 162.399, 162.400, 162.400, 162.401, 162.402, 162.402, 162.402, 162.402, 162.402, 162.402, 162.402, 162.402, 162.402, 162.402, 162.402, 162.401, 162.760, 162.401, 162.402, 162.402, 162.402, 162.402, 162.402, 162.402,
 35588.043, 162.760, 162.760, 162.760, 162.368, 162.458, 162.467, 162.469, 162.472, 162.472, 162.472, 162.472, 162.472, 162.473, 162.473, 162.473, 162.473, 162.473, 162.474, 162.474, 162.474, 162.474, 162.474, 162.474, 162.474, 162.474, 162.474, 162.474, 162.473, 162.473, 162.473, 162.760, 162.474, 162.474, 162.475, 162.474, 162.474, 162.474, 162.474,
 35589.042, 162.760, 162.760, 162.760, 162.609, 162.622, 162.633, 162.635, 162.638, 162.638, 162.638, 162.638, 162.639, 162.639, 162.639, 162.639, 162.639, 162.640, 162.640, 162.641, 162.641, 162.641, 162.641, 162.640, 162.640, 162.640, 162.640, 162.640, 162.640, 162.640, 162.640, 162.760, 162.641, 162.641, 162.640, 162.640, 162.641, 162.640, 162.640,
 35590.043, 162.760, 162.760, 162.760, 162.807, 162.825, 162.832, 162.834, 162.836, 162.837, 162.837, 162.837, 162.837, 162.837, 162.837, 162.837, 162.838, 162.838, 162.839, 162.839, 162.839, 162.839, 162.839, 162.839, 162.839, 162.839, 162.839, 162.839, 162.838, 162.838, 162.838, 162.760, 162.839, 162.839, 162.840, 162.840, 162.839, 162.839, 162.839,
 35591.044, 162.760, 162.760, 162.760, 162.930, 162.952, 162.958, 162.961, 162.962, 162.963, 162.963, 162.963, 162.963, 162.963, 162.963, 162.963, 162.963, 162.964, 162.965, 162.966, 162.966, 162.966, 162.965, 162.965, 162.965, 162.965, 162.965, 162.965, 162.965, 162.965, 162.964, 162.760, 162.967, 162.966, 162.965, 162.965, 162.965, 162.965, 162.965,
 35592.043, 162.760, 162.760, 162.760, 163.015, 163.042, 163.049, 163.052, 163.053, 163.054, 163.054, 163.054, 163.054, 163.054, 163.055, 163.055, 163.055, 163.056, 163.056, 163.056, 163.056, 163.056, 163.056, 163.056, 163.056, 163.056, 163.056, 163.056, 163.056, 163.056, 163.056, 162.760, 163.057, 163.057, 163.056, 163.056, 163.056, 163.056, 163.056,
 35593.044, 162.760, 162.760, 162.760, 163.108, 163.138, 163.144, 163.146, 163.149, 163.149, 163.150, 163.150, 163.150, 163.150, 163.151, 163.151, 163.151, 163.152, 163.152, 163.152, 163.152, 163.152, 163.152, 163.152, 163.152, 163.151, 163.152, 163.152, 163.152, 163.153, 163.153, 162.760, 163.153, 163.152, 163.151, 163.151, 163.151, 163.152, 163.152,
 35594.045, 162.760, 162.760, 162.760, 163.156, 163.170, 163.174, 163.178, 163.178, 163.178, 163.179, 163.179, 163.179, 163.179, 163.179, 163.179, 163.179, 163.179, 163.180, 163.180, 163.180, 163.180, 163.180, 163.181, 163.180, 163.180, 163.180, 163.180, 163.180, 163.180, 163.180, 162.760, 163.180, 163.180, 163.180, 163.180, 163.180, 163.180, 163.180,
 35595.045, 162.760, 162.760, 162.760, 163.137, 163.150, 163.155, 163.158, 163.159, 163.159, 163.159, 163.159, 163.159, 163.159, 163.159, 163.160, 163.160, 163.160, 163.160, 163.161, 163.161, 163.160, 163.160, 163.161, 163.161, 163.161, 163.160, 163.160, 163.160, 163.160, 163.160, 162.760, 163.160, 163.160, 163.161, 163.161, 163.161, 163.160, 163.160,
 35596.045, 162.760, 162.760, 162.760, 163.149, 163.160, 163.164, 163.167, 163.168, 163.169, 163.169, 163.169, 163.169, 163.169, 163.170, 163.170, 163.170, 163.170, 163.171, 163.171, 163.171, 163.171, 163.171, 163.170, 163.170, 163.170, 163.170, 163.170, 163.170, 163.170, 163.170, 162.760, 163.171, 163.171, 163.170, 163.170, 163.170, 163.170, 163.170,
 35597.045, 162.760, 162.760, 162.760, 163.187, 163.201, 163.205, 163.208, 163.209, 163.210, 163.210, 163.210, 163.210, 163.210, 163.210, 163.211, 163.211, 163.211, 163.211, 163.212, 163.212, 163.212, 163.212, 163.211, 163.211, 163.211, 163.211, 163.211, 163.211, 163.211, 163.211, 162.760, 163.211, 163.212, 163.211, 163.211, 163.211, 163.211, 163.211,
 35598.044, 162.760, 162.760, 162.760, 163.239, 163.257, 163.261, 163.266, 163.266, 163.266, 163.267, 163.267, 163.267, 163.267, 163.267, 163.267, 163.267, 163.267, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268, 162.760, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268, 163.268,
 35599.044, 162.760, 162.760, 162.760, 163.274, 163.295, 163.300, 163.304, 163.304, 163.305, 163.305, 163.305, 163.305, 163.305, 163.305, 163.305, 163.306, 163.306, 163.306, 163.307, 163.307, 163.307, 163.306, 163.306, 163.306, 163.306, 163.306, 163.306, 163.306, 163.306, 163.306, 162.760, 163.307, 163.307, 163.306, 163.306, 163.306, 163.306, 163.306,
 35600.044, 162.760, 162.760, 162.760, 163.256, 163.270, 163.273, 163.277, 163.278, 163.278, 163.278, 163.278, 163.278, 163.278, 163.278, 163.279, 163.279, 163.280, 163.280, 163.280, 163.280, 163.280, 163.280, 163.280, 163.280, 163.280, 163.280, 163.279, 163.280, 163.280, 163.280, 162.760, 163.280, 163.280, 163.279, 163.279, 163.279, 163.280, 163.280,
