 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37710.043,   1,  0.38263235E+09,   0.00000000E+00,  -0.18024362E+09,   0.00000000E+00,   0.00000000E+00,  -0.35972627E+07,   0.00000000E+00,   0.00000000E+00,   0.11168797E-10,
 37711.044,   1,  0.39170853E+09,   0.00000000E+00,  -0.18234844E+09,   0.00000000E+00,   0.00000000E+00,  -0.36404619E+07,   0.00000000E+00,   0.00000000E+00,   0.10082770E-10,
 37712.044,   1,  0.39979191E+09,   0.00000000E+00,  -0.18482486E+09,   0.00000000E+00,   0.00000000E+00,  -0.36979268E+07,   0.00000000E+00,   0.00000000E+00,   0.10241104E-10,
 37713.045,   1,  0.40774680E+09,   0.00000000E+00,  -0.18764203E+09,   0.00000000E+00,   0.00000000E+00,  -0.37723882E+07,   0.00000000E+00,   0.00000000E+00,   0.10428460E-10,
 37714.044,   1,  0.41557195E+09,   0.00000000E+00,  -0.19076216E+09,   0.00000000E+00,   0.00000000E+00,  -0.38694341E+07,   0.00000000E+00,   0.00000000E+00,   0.11222656E-10,
 37715.046,   1,  0.42345798E+09,   0.00000000E+00,  -0.19398431E+09,   0.00000000E+00,   0.00000000E+00,  -0.39349943E+07,   0.00000000E+00,   0.00000000E+00,   0.11852676E-10,
 37716.046,   1,  0.43132130E+09,   0.00000000E+00,  -0.19692407E+09,   0.00000000E+00,   0.00000000E+00,  -0.39674021E+07,   0.00000000E+00,   0.00000000E+00,   0.11678700E-10,
 37717.047,   1,  0.43857681E+09,   0.00000000E+00,  -0.19959578E+09,   0.00000000E+00,   0.00000000E+00,  -0.40166587E+07,   0.00000000E+00,   0.00000000E+00,   0.12163596E-10,
 37718.047,   1,  0.44503414E+09,   0.00000000E+00,  -0.20244504E+09,   0.00000000E+00,   0.00000000E+00,  -0.40757165E+07,   0.00000000E+00,   0.00000000E+00,   0.12632374E-10,
 37719.047,   1,  0.45168333E+09,   0.00000000E+00,  -0.20632502E+09,   0.00000000E+00,   0.00000000E+00,  -0.41549194E+07,   0.00000000E+00,   0.00000000E+00,   0.12985754E-10,
 37720.047,   1,  0.45845120E+09,   0.00000000E+00,  -0.21141480E+09,   0.00000000E+00,   0.00000000E+00,  -0.42131857E+07,   0.00000000E+00,   0.00000000E+00,   0.12972800E-10,
 37721.047,   1,  0.46595344E+09,   0.00000000E+00,  -0.21761459E+09,   0.00000000E+00,   0.00000000E+00,  -0.42740390E+07,   0.00000000E+00,   0.00000000E+00,   0.13175428E-10,
 37722.047,   1,  0.47466212E+09,   0.00000000E+00,  -0.22474150E+09,   0.00000000E+00,   0.00000000E+00,  -0.43826895E+07,   0.00000000E+00,   0.00000000E+00,   0.13132791E-10,
 37723.047,   1,  0.48354108E+09,   0.00000000E+00,  -0.23170781E+09,   0.00000000E+00,   0.00000000E+00,  -0.45205839E+07,   0.00000000E+00,   0.00000000E+00,   0.12580616E-10,
 37724.045,   1,  0.49201117E+09,   0.00000000E+00,  -0.23778161E+09,   0.00000000E+00,   0.00000000E+00,  -0.46162453E+07,   0.00000000E+00,   0.00000000E+00,   0.12237828E-10,
 37725.044,   1,  0.50091527E+09,   0.00000000E+00,  -0.24341492E+09,   0.00000000E+00,   0.00000000E+00,  -0.46528193E+07,   0.00000000E+00,   0.00000000E+00,   0.11562669E-10,
 37726.047,   1,  0.50977017E+09,   0.00000000E+00,  -0.24948494E+09,   0.00000000E+00,   0.00000000E+00,  -0.46849362E+07,   0.00000000E+00,   0.00000000E+00,   0.10493714E-10,
 37727.047,   1,  0.51800600E+09,   0.00000000E+00,  -0.25610553E+09,   0.00000000E+00,   0.00000000E+00,  -0.47252042E+07,   0.00000000E+00,   0.00000000E+00,   0.90041039E-11,
 37728.047,   1,  0.52618558E+09,   0.00000000E+00,  -0.26312121E+09,   0.00000000E+00,   0.00000000E+00,  -0.47871532E+07,   0.00000000E+00,   0.00000000E+00,   0.64040686E-11,
 37729.047,   1,  0.53489267E+09,   0.00000000E+00,  -0.27051321E+09,   0.00000000E+00,   0.00000000E+00,  -0.48604821E+07,   0.00000000E+00,   0.00000000E+00,   0.33991560E-11,
 37730.042,   1,  0.54294109E+09,   0.00000000E+00,  -0.27752986E+09,   0.00000000E+00,   0.00000000E+00,  -0.49327359E+07,   0.00000000E+00,   0.00000000E+00,   0.32035841E-11,
 37731.042,   1,  0.55014774E+09,   0.00000000E+00,  -0.28395852E+09,   0.00000000E+00,   0.00000000E+00,  -0.50190293E+07,   0.00000000E+00,   0.00000000E+00,   0.51578007E-11,
 37732.042,   1,  0.55770312E+09,   0.00000000E+00,  -0.29068522E+09,   0.00000000E+00,   0.00000000E+00,  -0.51164726E+07,   0.00000000E+00,   0.00000000E+00,   0.55416736E-11,
 37733.043,   1,  0.56994665E+09,   0.00000000E+00,  -0.29882883E+09,   0.00000000E+00,   0.00000000E+00,  -0.52299425E+07,   0.00000000E+00,   0.00000000E+00,   0.60526184E-11,
 37734.043,   1,  0.58845316E+09,   0.00000000E+00,  -0.30820756E+09,   0.00000000E+00,   0.00000000E+00,  -0.53420571E+07,   0.00000000E+00,   0.00000000E+00,   0.50735627E-11,
 37735.042,   1,  0.60841383E+09,   0.00000000E+00,  -0.31797250E+09,   0.00000000E+00,   0.00000000E+00,  -0.54037560E+07,   0.00000000E+00,   0.00000000E+00,   0.50186608E-11,
